,Document_No,Dominant_Topic,Topic_Per_Cont,Keywords,Text
0,0,9.0,0.9236999750137329,"datum, rule, union, member, state, law, personal, specific, regulation, obligation",    . This Regulation lays down rules relating to the protection of natural persons with regard to the processing of personal data and rules relating to the free movement of personal data. 
1,1,9.0,0.8985999822616577,"datum, rule, union, member, state, law, personal, specific, regulation, obligation", This Regulation protects fundamental rights and freedoms of natural persons and in particular their right to the protection of personal data. 
2,2,4.0,0.5751000046730042,"right, datum, process, purpose, personal, public, shall, court, member, judicial_remedy", The free movement of personal data within the Union shall be neither restricted nor prohibited for reasons connected with the protection of natural persons with regard to the processing of personal data. 
3,3,9.0,0.7045000195503235,"datum, rule, union, member, state, law, personal, specific, regulation, obligation", This Regulation applies to the processing of personal data wholly or partly by automated means and to the processing other than by automated means of personal data which form part of a filing system or are intended to form part of a filing system. 
4,4,7.0,0.7616000175476074,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", This Regulation does not apply to the processing of personal data:         a in the course of an activity which falls outside the scope of Union law         b by the Member States when carrying out activities which fall within the scope of Chapter  of Title V of the TEU         c by a natural person in the course of a purely personal or household activity         d by competent authorities for the purposes of the prevention investigation detection or prosecution of criminal offences the execution of criminal penalties including the safeguarding against and the prevention of threats to public security. 
5,5,6.0,0.7900000214576721,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", For the processing of personal data by the Union institutions bodies offices and agencies Regulation EC No / applies. Regulation EC No / and other Union legal acts applicable to such processing of personal data shall be adapted to the principles and rules of this Regulation in accordance with Article 9. 
6,6,2.0,0.5260999798774719,"article, refer, code, paragraph, pursuant, certification, approve, conduct, provide, application", This Regulation shall be without prejudice to the application of Directive //EC in particular of the liability rules of intermediary service providers in Articles  to  of that Directive. 
7,7,7.0,0.5738999843597412,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", This Regulation applies to the processing of personal data in the context of the activities of an establishment of a controller or a processor in the Union regardless of whether the processing takes place in the Union or not. 
8,8,6.0,0.3434000015258789,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", This Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or processor not established in the Union where the processing activities are related to:         a the offering of goods or services irrespective of whether a payment of the data subject is required to such data subjects in the Union or         b the monitoring of their behaviour as far as their behaviour takes place within the Union. 
9,9,7.0,0.507099986076355,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", This Regulation applies to the processing of personal data by a controller not established in the Union but in a place where Member State law applies by virtue of public international law. Article  Definitions For the purposes of this Regulation:      personal data means any information relating to an identified or identifiable natural person data subject an identifiable natural person is one who can be identified directly or indirectly in xparticular by reference to an identifier such as a name an identification number location data an online identifier or to one or more factors specific to the physical physiological genetic mental economic cultural or social identity of that natural person      processing means any operation or set of operations which is performed on personal data or on sets of personal data whether or not by automated means such as collection recording organisation structuring storage adaptation or alteration retrieval consultation use disclosure by transmission dissemination or otherwise making available alignment or combination restriction erasure or destruction      restriction of processing means the marking of stored personal data with the aim of limiting their processing in the future      profiling means any form of automated processing of personal data consisting of the use of personal data to evaluate certain personal aspects relating to a natural person in particular to analyse or predict aspects concerning that natural persons performance at work economic situation health personal preferences interests reliability behaviour location or movements      pseudonymisation means the processing of personal data in such a manner that the personal data can no longer be attributed to a specific data subject without the use of additional information provided that such additional information is kept separately and is subject to technical and organisational measures to ensure that the personal data are not attributed to an identified or identifiable natural person      filing system means any structured set of personal data which are accessible according to specific criteria whether centralised decentralised or dispersed on a functional or geographical basis      controller means the natural or legal person public authority agency or other body which alone or jointly with others determines the purposes and means of the processing of personal data where the purposes and means of such processing are determined by Union or Member State law the controller or the specific criteria for its nomination may be provided for by Union or Member State law      processor means a natural or legal person public authority agency or other body which processes personal data on behalf of the controller     9 recipient means a natural or legal person public authority agency or another body to which the personal data are disclosed whether a third party or not. However public authorities which may receive personal data in the framework of a particular inquiry in accordance with Union or Member State law shall not be regarded as recipients the processing of those data by those public authorities shall be in compliance with the applicable data protection rules according to the purposes of the processing      third party means a natural or legal person public authority agency or body other than the data subject controller processor and persons who under the direct authority of the controller or processor are authorised to process personal data      consent of the data subject means any freely given specific informed and unambiguous indication of the data subjects wishes by which he or she by a statement or by a clear affirmative action signifies agreement to the processing of personal data relating to him or her      personal data breach means a breach of security leading to the accidental or unlawful destruction loss alteration unauthorised disclosure of or access to personal data transmitted stored or otherwise processed      genetic data means personal data relating to the inherited or acquired genetic characteristics of a natural person which give unique information about the physiology or the health of that natural person and which result in particular from an analysis of a biological sample from the natural person in question      biometric data means personal data resulting from specific technical processing relating to the physical physiological or behavioural characteristics of a natural person which allow or confirm the unique identification of that natural person such as facial images or dactyloscopic data      data concerning health means personal data related to the physical or mental health of a natural person including the provision of health care services which reveal information about his or her health status      main establishment means:         a as regards a controller with establishments in more than one Member State the place of its central administration in the Union unless the decisions on the purposes and means of the processing of personal data are taken in another establishment of the controller in the Union and the latter establishment has the power to have such decisions implemented in which case the establishment having taken such decisions is to be considered to be the main establishment         b as regards a processor with establishments in more than one Member State the place of its central administration in the Union or if the processor has no central administration in the Union the establishment of the processor in the Union where the main processing activities in the context of the activities of an establishment of the processor take place to the extent that the processor is subject to specific obligations under this Regulation      representative means a natural or legal person established in the Union who designated by the controller or processor in writing pursuant to Article  represents the controller or processor with regard to their respective obligations under this Regulation      enterprise means a natural or legal person engaged in an economic activity irrespective of its legal form including partnerships or associations regularly engaged in an economic activity     9 group of undertakings means a controlling undertaking and its controlled undertakings      binding corporate rules means personal data protection policies which are adhered to by a controller or processor established on the territory of a Member State for transfers or a set of transfers of personal data to a controller or processor in one or more third countries within a group of undertakings or group of enterprises engaged in a joint economic activity      supervisory authority means an independent public authority which is established by a Member State pursuant to Article       supervisory authority concerned means a supervisory authority which is concerned by the processing of personal data because:         a the controller or processor is established on the territory of the Member State of that supervisory authority         b data subjects residing in the Member State of that supervisory authority are substantially affected or likely to be substantially affected by the processing or         c a complaint has been lodged with that supervisory authority      cross-border processing means either:         a processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State or         b processing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State.      relevant and reasoned objection means an objection as to whether there is an infringement of this Regulation or not or whether the envisaged action in relation to the controller or processor complies with this Regulation which clearly demonstrates the significance of the risks posed by the draft decision as regards the fundamental rights and freedoms of data subjects and where applicable the free flow of personal data within the Union      information society service means a service as defined in point b of Article  of Directive EU / of the European Parliament and of the Council      international organisation means an organisation and its subordinate bodies governed by public international law or any other body which is set up by or on the basis of an agreement between two or more countries. CHAPTER II  PRINCIPLES  
